ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
1,3,7000K,Normal,[0.35677070;1.0;1.0],[0.25163925;1.0;1.0]
1,1,7000K,Normal,[0.68028653;1.0;1.0],[0.64527728;1.0;1.0]
1,2,7000K,Normal,[0.00735163;1.0;1.0],[0.98515009;1.0;1.0]
1,1,7000K,High,[0.69581721;1.0;1.0],[0.61119073;1.0;1.0]
1,3,7000K,High,[0.38931017;1.0;1.0],[0.25061341;1.0;1.0]
1,2,7000K,High,[0.01426554;1.0;1.0],[0.97447189;1.0;1.0]
1,1,7000K,Low,[0.69781955;1.0;1.0],[0.61773144;1.0;1.0]
1,2,7000K,Low,[0.02563742;1.0;1.0],[0.97686058;1.0;1.0]
1,3,7000K,Low,[0.35929976;1.0;1.0],[0.24711230;1.0;1.0]
1,1,10000K,Normal,[0.71087644;1.0;1.0],[0.64362700;1.0;1.0]
1,2,10000K,Normal,[0.01708765;1.0;1.0],[0.98177281;1.0;1.0]
1,3,10000K,Normal,[0.36536157;1.0;1.0],[0.24056345;1.0;1.0]
1,1,10000K,High,[0.70288776;1.0;1.0],[0.64193318;1.0;1.0]
1,3,10000K,High,[0.35494627;1.0;1.0],[0.26601178;1.0;1.0]
1,2,10000K,High,[0.02783907;1.0;1.0],[0.96514638;1.0;1.0]
1,1,10000K,Low,[0.72143108;1.0;1.0],[0.62950565;1.0;1.0]
1,2,10000K,Low,[0.03295205;1.0;1.0],[0.96645305;1.0;1.0]
1,3,10000K,Low,[0.38468950;1.0;1.0],[0.23541097;1.0;1.0]
1,3,4000K,Normal,[0.42685302;1.0;1.0],[0.25424111;1.0;1.0]
1,1,4000K,Normal,[0.69285227;1.0;1.0],[0.62113751;1.0;1.0]
1,2,4000K,Normal,[0.01849381;1.0;1.0],[0.95685267;1.0;1.0]
1,3,4000K,High,[0.40974817;1.0;1.0],[0.25394561;1.0;1.0]
1,2,4000K,High,[0.04467036;1.0;1.0],[0.95988142;1.0;1.0]
1,1,4000K,High,[0.68798986;1.0;1.0],[0.62604714;1.0;1.0]
1,3,4000K,Low,[0.39339406;1.0;1.0],[0.24394142;1.0;1.0]
1,1,4000K,Low,[0.68681957;1.0;1.0],[0.62735983;1.0;1.0]
1,2,4000K,Low,[0.02704931;1.0;1.0],[0.96389753;1.0;1.0]
10,1,7000K,Normal,[0.67535805;1.0;1.0],[0.65403874;1.0;1.0]
10,3,7000K,Normal,[0.35421529;1.0;1.0],[0.29648130;1.0;1.0]
10,2,7000K,Normal,[0.01851835;1.0;1.0],[0.98110136;1.0;1.0]
10,2,7000K,High,[0.01901009;1.0;1.0],[0.98424850;1.0;1.0]
10,1,7000K,High,[0.68664644;1.0;1.0],[0.63296233;1.0;1.0]
10,3,7000K,High,[0.34637602;1.0;1.0],[0.28557391;1.0;1.0]
10,2,7000K,Low,[0.01546030;1.0;1.0],[0.98206060;1.0;1.0]
10,3,7000K,Low,[0.36453505;1.0;1.0],[0.28488152;1.0;1.0]
10,1,7000K,Low,[0.68785778;1.0;1.0],[0.63599964;1.0;1.0]
10,3,10000K,Normal,[0.34480001;1.0;1.0],[0.30149723;1.0;1.0]
10,1,10000K,Normal,[0.68719541;1.0;1.0],[0.63774528;1.0;1.0]
10,2,10000K,Normal,[0.01242213;1.0;1.0],[0.99176990;1.0;1.0]
10,3,10000K,High,[0.35043014;1.0;1.0],[0.27226648;1.0;1.0]
10,1,10000K,High,[0.69635772;1.0;1.0],[0.64071080;1.0;1.0]
10,2,10000K,High,[0.01485556;1.0;1.0],[0.98305918;1.0;1.0]
10,3,10000K,Low,[0.35865657;1.0;1.0],[0.27790078;1.0;1.0]
10,2,10000K,Low,[0.01999984;1.0;1.0],[0.98957611;1.0;1.0]
10,1,10000K,Low,[0.68337741;1.0;1.0],[0.63997721;1.0;1.0]
10,3,4000K,Normal,[0.38559045;1.0;1.0],[0.30775290;1.0;1.0]
10,1,4000K,Normal,[0.67375439;1.0;1.0],[0.63475290;1.0;1.0]
10,2,4000K,Normal,[0.02421202;1.0;1.0],[0.97578290;1.0;1.0]
10,3,4000K,High,[0.36472671;1.0;1.0],[0.30799141;1.0;1.0]
10,1,4000K,High,[0.68617502;1.0;1.0],[0.65162179;1.0;1.0]
10,2,4000K,High,[0.03371299;1.0;1.0],[0.96593929;1.0;1.0]
10,3,4000K,Low,[0.37084746;1.0;1.0],[0.31525516;1.0;1.0]
10,2,4000K,Low,[0.02537996;1.0;1.0],[0.95760596;1.0;1.0]
10,1,4000K,Low,[0.67623731;1.0;1.0],[0.63836004;1.0;1.0]
11,2,7000K,High,[0.01943213;1.0;1.0],[0.97743297;1.0;1.0]
11,1,7000K,High,[0.69574388;1.0;1.0],[0.64452897;1.0;1.0]
11,3,7000K,High,[0.34705308;1.0;1.0],[0.26664472;1.0;1.0]
11,3,7000K,Low,[0.35885751;1.0;1.0],[0.25734431;1.0;1.0]
11,1,7000K,Low,[0.68381490;1.0;1.0],[0.65360964;1.0;1.0]
11,2,7000K,Low,[0.02430595;1.0;1.0],[0.99344074;1.0;1.0]
11,2,10000K,Normal,[0.01081454;1.0;1.0],[0.96970862;1.0;1.0]
11,1,10000K,Normal,[0.70740740;1.0;1.0],[0.63481197;1.0;1.0]
11,3,10000K,Normal,[0.34999039;1.0;1.0],[0.24431916;1.0;1.0]
11,2,10000K,High,[0.01090178;1.0;1.0],[0.99232944;1.0;1.0]
11,3,10000K,High,[0.33656003;1.0;1.0],[0.26162334;1.0;1.0]
11,1,10000K,High,[0.70105657;1.0;1.0],[0.65266434;1.0;1.0]
11,1,10000K,Low,[0.70300592;1.0;1.0],[0.64507014;1.0;1.0]
11,2,10000K,Low,[0.01461685;1.0;1.0],[0.98090517;1.0;1.0]
11,3,10000K,Low,[0.36563501;1.0;1.0],[0.25038664;1.0;1.0]
11,1,4000K,Normal,[0.67524257;1.0;1.0],[0.66166628;1.0;1.0]
11,3,4000K,Normal,[0.34729236;1.0;1.0],[0.29373800;1.0;1.0]
11,2,4000K,Normal,[0.01080480;1.0;1.0],[0.99122593;1.0;1.0]
11,1,4000K,High,[0.69210081;1.0;1.0],[0.65648514;1.0;1.0]
11,3,4000K,High,[0.36094910;1.0;1.0],[0.29485851;1.0;1.0]
11,2,4000K,High,[0.01235595;1.0;1.0],[0.98297224;1.0;1.0]
11,3,4000K,Low,[0.36388581;1.0;1.0],[0.27667611;1.0;1.0]
11,2,4000K,Low,[0.02459680;1.0;1.0],[0.97655141;1.0;1.0]
11,1,4000K,Low,[0.69061996;1.0;1.0],[0.64611360;1.0;1.0]
11,2,7000K,Normal,[0.00770703;1.0;1.0],[0.98012733;1.0;1.0]
