ParticipantID,ColorID,LightingTemperature,LightingIntensity,IdealMatch,TextureRenderCentroidUB,TextureRenderCentroidLB
1,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.34064340:0.73545460:0.60835960),(0.27140730:0.74392040:0.60835960)
1,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.67080750:0.75253250:0.64016730),(0.66100820:0.74859890:0.64016730)
1,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00266229:0.74386480:0.60822740),(0.99637160:0.73953720:0.60822740)
1,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67796570:0.73562130:0.77535190),(0.63668070:0.73172480:0.77535190)
1,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.36847420:0.71859640:0.73917930),(0.27020150:0.72701480:0.73917930)
1,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00469690:0.72751490:0.74053590),(0.99078330:0.72319160:0.74053590)
1,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67922260:0.79975370:0.45122350),(0.64161720:0.79582490:0.45122350)
1,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.01050703:0.78956430:0.42044790),(0.99147800:0.78509620:0.42044790)
1,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34286340:0.78252080:0.42362040),(0.26550920:0.79114030:0.42362040)
1,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.68052740:0.78412400:0.64016730),(0.65653200:0.80235840:0.64016730)
1,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.99760740:0.70692960:0.51378220),(0.98477770:0.73102070:0.51378220)
1,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.36081250:0.77104900:0.55262320),(0.27340500:0.71809280:0.55262320)
1,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67516730:0.76720790:0.77535190),(0.65584000:0.78543080:0.77535190)
1,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.35341230:0.75156840:0.66966780),(0.30213010:0.69867890:0.66966780)
1,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.00377150:0.67619260:0.62316360),(0.97143190:0.71035570:0.62316360)
1,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.68953000:0.83093050:0.45122350),(0.64844470:0.84837980:0.45122350)
1,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.00960433:0.75482700:0.36087690),(0.97276400:0.78860340:0.36087690)
1,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.37938230:0.82388950:0.38847540),(0.26460910:0.77224480:0.38847540)
1,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.36979450:0.67858010:0.52833680),(0.24098070:0.84197260:0.52833680)
1,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.70280000:0.70443380:0.43743180),(0.65567520:0.61178420:0.43743180)
1,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.01798749:0.86799530:0.63249030),(0.99842860:0.79558560:0.63249030)
1,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.34688700:0.65823600:0.63937660),(0.23918070:0.82279600:0.63937660)
1,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.03084430:0.85298870:0.77068950),(0.00154195:0.78701680:0.77068950)
1,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.70048330:0.67342420:0.51980440),(0.66287600:0.57961890:0.51980440)
